fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event,event_name,full_event_name
John Moraga,Deiveson Figueiredo,Flyweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Eryk Anders,Tim Williams,Middleweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
James Krause,Warlley Alves,Welterweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Cory Sandhagen,Iuri Alcantara,Bantamweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Andrew Sanchez,Markus Perez,Middleweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,DEC,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Mickey Gall,George Sullivan,Welterweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,SUB,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Joanne Wood,Kalindra Faria,Women's Flyweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,SUB,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Drew Dober,Jon Tuck,Lightweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,DEC,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Rani Yahya,Luke Sanders,Bantamweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,SUB,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Stephen Thompson,Darren Till,Welterweight Bout,,,fight-night-liverpool-2018,https://www.ufc.com/event/fight-night-liverpool-2018,DEC,fight-night-liverpool-2018,Thompson vs Till,fight night liverpool 2018 Thompson vs Till
